ano,cpb,titulo,direcao,genero,produtora_maj,produtora_min,distribuidora,uf_bruto,uf2_bruto,max_salas,publico,renda_corrente,uf_maj,n_ufs,coproducao,decada,filmes_diretor_antes,filmes_distribuidora_antes,filmes_produtora_antes,estreia_do_diretor,experiencia_da_direcao,porte_da_distribuidora,contratos_fsa,projetos_incentivo,recebeu_fsa,recebeu_incentivo,origem_do_fomento,deflator,renda_deflacionada_2024,populacao_br,filmes_no_ano,sucesso_global,mediana_publico_do_ano,sucesso_no_ano
2023,B2200143600000,"Chef Jack, O Cozinheiro Aventureiro","Rodrigo Ribeiro Guimaraes, Guilherme Fiuza Zenha, Carlos Daniel Costa, Artur Henrique Da Costa Pinto",Animação,Immagini Animation Studios Brasil Ltda,Ciclus Producoes Audiovisuais Ltda - Me / Pixel Produções Ltda.- Epp,Sony,MG,ND/MG,563,51238,864902.21,MG,1.0,1,2020,0,20,0,1,estreante,media,1.0,0.0,1.0,0.0,só FSA,1.0436741795953661,902676.104451969,,161,1,802.0,1
2023,B2200467800000,Coração De Neon,Lucas Estevan Soares,Ficção,Ihc Entretenimento Ltda Me,,International House Of Cinema,PR,,116,5347,100306.37,PR,1.0,0,2020,0,0,0,1,estreante,nova,0.0,0.0,0.0,0.0,sem fomento,1.0436741795953661,104687.16841793925,,161,1,802.0,1
2023,B2300052100000,Corpolítica,Pedro Henrique De Franca Fernandes Da Silva,Documentário,Pedro Henrique Representa Producoes,Pigossi - Producoes Artisticas E Culturais Ltda,Vitrine Filmes,SP,,18,1414,18431.05,SP,1.0,1,2020,0,163,0,1,estreante,grande,0.0,0.0,0.0,0.0,sem fomento,1.0436741795953661,19236.01098783117,,161,0,802.0,1
2023,B1900247200000,Crônica De Uma Cidade Partida,Ricardo Claudio Nauenberg,Documentário,Industria Imaginaria Eireli,Globo Comunicação E Participações S/A,Elo Company,RJ,RJ,10,248,4098.54,RJ,1.0,1,2020,0,93,0,1,estreante,grande,0.0,1.0,0.0,1.0,só incentivo,1.0436741795953661,4277.540372038792,,161,0,802.0,0
2023,B1900379100000,Depois De Ser Cinza,Eduardo Wannmacher,Ficção,Mendina De Morais Santos Produções Ltda.,Lockheart Filmes Ltda.,Boulevard Filmes / Vitrine Filmes,RS,RS,7,592,8335.66,RS,1.0,1,2020,0,0,0,1,estreante,nova,2.0,0.0,1.0,0.0,só FSA,1.0436741795953661,8699.713111885909,,161,0,802.0,0
2023,B2300201100000,Derrapada,Pedro Miguel Nazareth Amorim,Ficção,3 Tabela Filmes E Produções Artísticas Ltda,Globo Comunicação E Participações S/A / Telecine Programacao De Filmes Ltda / O2 Filmes Curtos Ltda,Vitrine Filmes,RJ,RJ/RJ/SP/RJ,21,403,5027.88,RJ,1.0,1,2020,1,163,1,0,iniciante,grande,1.0,1.0,1.0,1.0,FSA e incentivo,1.0436741795953661,5247.468534103949,,161,0,802.0,0
2023,B2200504100000,Desapega,Hsu Chien Hsin,Ficção,Bronze Filmes Produtora Ltda,Telecine Programacao De Filmes Ltda / Rubi Filmes E Producoes Artisticas Ltda,Imagem,SP,RJ/RJ,516,150727,1680486.25,SP,1.0,1,2020,2,86,0,0,iniciante,grande,1.0,1.0,1.0,1.0,FSA e incentivo,1.0436741795953661,1753880.1082900434,,161,1,802.0,1
2023,B2100262500000,Despedida,"Vinicius Silva Lopes, Luciana Hubner Mazeto",Ficção,"Patio Vazio Producoes Cinematograficas, Artisticas E Culturais Ltda",,Elo Company,RS,,1,46,596.76,RS,1.0,0,2020,0,93,0,1,estreante,grande,2.0,0.0,1.0,0.0,só FSA,1.0436741795953661,622.8230034153307,,161,0,802.0,0
2023,B1900298300000,Destino Das Sombras,Klaus Berg Nippes Braganca,Ficção,Finordia Produções Culturais Ltda - Me,,Moro Filmes,ES,,4,112,1756.48,ES,1.0,0,2020,0,4,0,1,estreante,nova,2.0,0.0,1.0,0.0,só FSA,1.0436741795953661,1833.1928229756686,,161,0,802.0,0
2023,B2300258900000,Destinos Opostos,Jose Leme Walther Neto,Ficção,Guaikurus Produções Ltda,Wn Produções S/C Ltda,Paris,SP,SP,22,296,5780.94,SP,1.0,1,2020,0,42,0,1,estreante,media,0.0,0.0,0.0,0.0,sem fomento,1.0436741795953661,6033.417811790036,,161,0,802.0,0
2023,B2300099600000,Diga O Que Quiser! Eu Vou Ser Feliz A Beça!,Renato Candido De Lima,Documentário,Dandara Produções Culturais E Audiovisuais - Ltda,,Borboletas Filmes & Pombagens,SP,,2,157,1024.0,SP,1.0,0,2020,0,0,0,1,estreante,nova,0.0,0.0,0.0,0.0,sem fomento,1.0436741795953661,1068.722359905655,,161,0,802.0,0
2023,B2300061600000,Dos 3 Aos 3,Carlos Pablo Cardoso Lobato,Documentário,Claroescuro Studio Ltda,,Embaúba Filmes,MG,,17,2926,52345.24,MG,1.0,0,2020,0,18,0,1,estreante,pequena,0.0,0.0,0.0,0.0,sem fomento,1.0436741795953661,54631.37541272254,,161,1,802.0,1
2023,B2300205100000,"Elis & Tom, Só Tinha De Ser Com Você","Roberto De Oliveira, Jom Tob De Azulay",Documentário,Arteria Producoes Artisticas Eireli / Roberto De Oliveira,,O2 Play,RJ/ND,,114,68565,1416197.2,RJ,2.0,0,2020,0,49,0,1,estreante,media,2.0,0.0,1.0,0.0,só FSA,1.0436741795953661,1478048.4508552547,,161,1,802.0,1
2023,B1900189800000,Empate,Antonio Sergio De Carvalho E Souza,Documentário,A. S. C. E Souza - Produtora,,Descoloniza Filmes,AC,,5,88,1101.5,AC,1.0,0,2020,0,7,0,1,estreante,pequena,1.0,0.0,1.0,0.0,só FSA,1.0436741795953661,1149.607108824296,,161,0,802.0,0
2023,B2300014400000,Enaldinho E O Mistério Da Lagoa.,Fabio Rodrigues Brasil,Ficção,Rubi Filmes E Producoes Artisticas Ltda,,Imagem,RJ,,45,47568,767419.9,RJ,1.0,0,2020,0,86,1,1,estreante,grande,0.0,0.0,0.0,0.0,sem fomento,1.0436741795953661,800936.3345376579,,161,1,802.0,1
