cenario,auc,desvio,delta_vs_honesto
honesto (so o que se sabe antes de estrear),0.8319895146115306,0.01161082763175132,0.0
+ max_salas,0.9400165045682286,0.003349849544271859,0.10802698995669802
+ renda_deflacionada_2024,0.9932839273164207,0.002357685806245217,0.1612944127048901
+ max_salas + renda,0.9945395497517513,0.001409224584740273,0.1625500351402207
