periodo,n,peso_circuito_limitado,centro_circuito_limitado,peso_lancamento_comercial,centro_lancamento_comercial,cruzamento,%_acima_do_cruzamento
1995-2024,2604,0.6388818694944292,914.8186742590726,0.3611181305055709,51402.12830089358,11830.131371898393,31.336405529953915
1990,104,0.528965458272308,7158.857730148942,0.47103454172769205,122321.29783961666,32051.633308050823,46.15384615384615
2000,507,0.579494835782385,4123.689979961467,0.420505164217615,130310.81948022133,30829.628352703705,38.8560157790927
2010,1274,0.7314758082964475,1378.2934063921052,0.26852419170355246,108370.10336018846,24536.764961733377,23.312401883830454
2020,719,0.700560707174838,284.87628729127215,0.2994392928251619,9687.448716025589,3672.360087727888,23.36578581363004
