definicao,auc_teste,%_pos_treino,%_pos_teste,desequilibrio_treino_teste
global_P50,0.7446203931852224,62.825520833333336,31.55430711610487,31.27121371722847
global_P75,0.8273977726063829,34.04947916666667,11.985018726591761,22.064460440074907
global_P80,0.8330633284241531,27.5390625,9.176029962546817,18.363032537453183
global_P90,0.8670648585745837,14.322916666666666,3.838951310861423,10.483965355805243
ano_P50,0.7253381589145247,49.67447916666667,49.71910112359551,0.044621956928836415
ano_P75,0.7735040936656894,25.1953125,25.0,0.1953125
ano_P90,0.8277209631592543,10.546875,10.205992509363297,0.34088249063670417
anoANTERIOR_P50,0.7078205511492535,46.846254927726676,52.71535580524345,5.86910087751677
anoANTERIOR_P75,0.7425168692198789,24.96714848883049,25.65543071161049,0.6882822227800012
janela5a_P75,0.7805960978606992,25.716145833333332,23.50187265917603,2.2142731741573023
abs_50k,0.8335681807417232,25.455729166666668,8.05243445692884,17.40329470973783
abs_100k,0.8829504940824068,19.3359375,5.711610486891386,13.624327013108614
abs_500k,0.8686741698595147,9.049479166666668,2.247191011235955,6.802288155430712
percapita_P50,0.7558931623931624,60.50753370340999,31.88010899182561,28.627424711584375
percapita_P90,0.8748229461756374,13.639968279143536,3.8147138964577656,9.825254382685769
fatia_10pct_do_ano,0.7292408810395865,4.427083333333334,1.7790262172284643,2.6480571161048694
